2020-01-09,1
2020-01-10,1
2020-01-31,1
2020-02-03,2
2020-02-10,1
2020-02-27,5
2020-03-08,3
2020-03-09,2
2020-03-14,2
2020-03-16,1
2020-03-17,2
2020-03-18,1
2020-03-19,4
2020-04-02,1
2020-04-03,3
2020-04-08,2
2020-04-16,2
2020-05-02,2
2020-05-06,2
2020-05-08,4
2020-05-10,3
2020-05-13,1
2020-06-07,5
2020-06-08,5
2020-06-17,1
2020-06-18,1
2020-06-19,1
2020-07-01,3
2020-07-09,1
2020-07-10,3
2020-07-15,1
2020-07-17,2
2020-07-21,1
2020-07-24,1
2020-07-29,2
2020-07-30,2
2020-07-31,1
2020-08-01,2
2020-08-06,1
2020-08-09,1
2020-08-10,1
2020-08-14,2
2020-08-18,1
2020-08-20,1
2020-08-21,1
2020-08-27,2
2020-09-01,2
2020-09-07,1
2020-09-14,1
2020-09-18,1
2020-09-21,1
2020-09-22,1
2020-09-28,2
2020-10-01,2
2020-10-08,7
2020-10-13,1
2020-10-15,2
2020-10-16,1
2020-10-17,1
2020-10-19,1
2020-10-21,4
2020-10-22,1
2020-11-05,1
2020-11-08,2
2020-11-09,1
2020-12-03,1
2020-12-05,1
2020-12-06,3
